47476,LALAL178358327,.99812436
22190,LALAL178436228,.98518884
25377,LALAL178512081,.99294502
44303,LALAL178523313,.99990553
33660,LALAL178657101,.99859339
56482,LALAL178776905,.9642663
33401,LALAL178876841,.99813968
8892,LALAL178892553,.99990553
22189,LALAL178954440,.99859339
22191,LALAL179084226,.91863734
27898,LALAL179119889,.99942499
9241,LALAL179124873,.99909896
4562,LALAL179154205,.99990553
28657,LALAL179188042,.99990553
24131,LALAL179239626,.99294502
11011,LALAL179294715,.9642663
20218,LALAL179318082,.98238361
38698,LALAL179353998,.99813968
3299,LALAL179354196,.99990553
17866,LALAL179367140,.99942499
39925,LALAL179371029,.9642663
22584,LALAL179378228,.99990553
42491,LALAL179382208,.99990553
26292,LALAL179382267,.99990553
43203,LALAL179395907,.99813968
49184,LALAL179426179,.99990553
14042,LALAL179433744,.99990553
16709,LALAL179444383,.874439
21401,LALAL179458564,.99813968
31678,LALAL179463099,.99812436
35085,LALAL179470787,.99812436
36610,LALAL179472735,.99990553
26973,LALAL179473152,.99990553
26976,LALAL179475198,.99812436
22074,LALAL179476006,.85914499
28081,LALAL179490108,.99813968
9242,LALAL179518411,.99990553
39694,LALAL179522862,.99959671
25052,LALAL179524069,.9928301
28084,LALAL179524250,.99910885
29738,LALAL179536437,.99990553
22078,LALAL179539509,.99294502
37771,LALAL179547010,.99959671
49123,LALAL179555144,.9642663
31621,LALAL179582375,.99813968
35923,LALAL179585986,.99990553
41387,LALAL179587148,.99942499
35188,LALAL179602822,.87654293
28083,LALAL179603827,.77116686
29486,LALAL179606831,.99942499
26975,LALAL179610502,.77116686
50500,LALAL179634757,.99990553
4360,LALAL179665824,.99813968
33163,LALAL179666903,.99990553
28898,LALAL179667572,.99990553
31679,LALAL179676161,.99990553
48214,LALAL179676481,.9642663
25376,LALAL179681335,.99294502
11726,LALAL179697647,.99909896
31535,LALAL179701991,.99909896
44684,LALAL179706886,.99990553
4359,LALAL179711596,.99990553
28658,LALAL179712344,.99990553
47475,LALAL179714510,.99990553
12077,LALAL179723236,.9928301
33402,LALAL179724812,.99990553
32996,LALAL179735589,.99990553
31310,LALAL179736614,.99990553
10100,LALAL179740696,.98529553
29863,LALAL179743918,.99942499
31362,LALAL179750999,.96920758
31676,LALAL179752569,.99990553
41171,LALAL179768531,.99990553
37770,LALAL179768752,.99959671
29487,LALAL179796886,.85914499
36371,LALAL179803886,.98235381
28660,LALAL179828967,.77116686
17325,LALAL179840368,.99942499
22586,LALAL179850149,.99909896
23273,LALAL179866793,.99909896
14642,LALAL179880296,.99910885
17867,LALAL179881841,.98238361
41169,LALAL179885608,.99990553
28897,LALAL179889035,.9642663
22073,LALAL179917326,.98235381
31675,LALAL179918143,.99990553
19464,LALAL179924007,.99942499
12017,LALAL179952064,.99910885
10933,LALAL179954286,.9642663
31750,LALAL179954739,.99990553
8905,LALAL179955120,.99910885
17326,LALAL179963537,.99942499
41474,LALAL179964712,.99959671
26361,LALAL179967578,.99990553
29851,LALAL179970752,.99990553
49399,LALAL179976552,.77116686
43044,LALAL179981653,.99959671
49187,LALAL179986704,.99990553
44534,LALAL179994094,.99959671
17327,LALAL179995184,.99942499
50984,LALAL180000543,.99990553
29864,LALAL180001263,.99294502
32995,LALAL180003664,.99812436
